Title,Location,Price,Description,Attributes,Post ID,Post Date,Update Date,Notice,Url
Light Phone 2, (Costa Mesa),$300,QR Code Link to This Post   Open-box but otherwise brand new. Great minimalist phone for those looking to ditch the smartphone. I am selling this one because I travel overseas frequently. This phone works in the US and Canada. https://www.thelightphone.com/,"['condition: like new', 'make / manufacturer: Light Phone', 'mobile OS: other', 'model name / number: Light Phone 2']",post id: 7413498635,posted: 2021-11-27 17:51,,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/costa-mesa-light-phone/7413498635.html
Samsung galaxy A 71 5G, (National city),$325,QR Code Link to This Post   T-Mobile Samsung A71 5G works on T-Mobile or metro by T-Mobile. This is is almost brand new and looks and works perfect . Fully restored to factory settings and ready to be used with your SIM card . Call or text for information. Thank you,"['condition: like new', 'mobile OS: android']",post id: 7413497944,posted: 2021-11-27 17:49,,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/national-city-samsung-galaxy-71-5g/7413497944.html
iPhone XS 64GB from Apple unlocked cracked screen works perfectly, (Santa Monica),$250,"QR Code Link to This Post   Apple iPhone XS 64GB used on Verizon. Always kept in an expensive aramid carbon fiber pitaka case with screen protector on front. Works perfectly but screen is cracked. Easily repairable or use as-is. Original owner with very little usage. Was given a iPhone 12 mini as a gift so no longer needed. Comes with original box and charger if desired.  PRICE IS FIRM  No low ball offers, scams, or shipping. They will be ignored.  Thanks!","['condition: good', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone XS']",post id: 7413491321,posted: 2021-11-27 17:24,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/wst/mob/d/santa-monica-iphone-xs-64gb-from-apple/7413491321.html
Wireless Charger Pad (in white), (Los Angeles),$6,"QR Code Link to This Post   New charging wireless pad, it comes with a small Micro USB cable.  For Samsung Galaxy S7 Edge, S20 phones, iPhone X8  /XS Max.   Each for $6.00   •	I can also mail it to you if needed.  •	Best way to reach me is by texting – text – texting me back to  show contact info  or just reply back to this post. •	I accept Venmo and CASH. •	Hablo Espanol tambien.  •	Please keep communication going. •	Please let me know in advance. Thank you","['condition: new', 'delivery available', 'make / manufacturer: Charging Pad', 'mobile OS: other', 'model name / number: Wireless Phone Charger', 'size / dimensions: White']",post id: 7413489561,posted: 2021-11-27 17:18,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/los-angeles-wireless-charger-pad-in/7413489561.html
NEW: S10+ Cell Phones Cases, (Central LA or Surrounding Cities),$6,QR Code Link to This Post   Cases for Samsung S10+ Phones.  Each for $6.00   •	I can deliver to ALL Central LA areas – and surrounding cities. •	I can also mail it to you if needed.  •	Best way to reach me is by texting – text – texting me back to  show contact info  or just reply back to this post. •	I accept Venmo and CASH. •	Hablo Espanol tambien.  •	Please keep communication going. •	Please let me know in advance. Thank you,"['condition: new', 'delivery available', 'make / manufacturer: Case for S10+ Phones', 'mobile OS: other', 'size / dimensions: S10+ size']",post id: 7413489914,posted: 2021-11-27 17:19,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/lac/mob/d/los-angeles-new-s10-cell-phones-cases/7413489914.html
iphone 11 Super Cute Case with stars, (Encino),$20,QR Code Link to This Post   Brand New - I bought the wrong  size but love it  Black and White stars,"['condition: new', 'make / manufacturer: Society6', 'mobile OS: apple iOS', 'model name / number: iphone 11']",post id: 7412594077,posted: 2021-11-25 10:48,updated: 2021-11-27 17:26,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/encino-iphone-11-super-cute-case-with/7412594077.html
iPad Long Cable, (Westminster),$10,QR Code Link to This Post   I had new iPad charging cable or connect iPad to your computer. This is a long cable. $10. Text to buy  show contact info . Pick up in Westminster city.,"['condition: new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: ipad charging cable.']",post id: 7412659153,posted: 2021-11-25 15:07,updated: 2021-11-27 17:21,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/westminster-ipad-long-cable/7412659153.html
Dash Cam Suction Mount Sportway Brand., (Westminster),$13,"QR Code Link to This Post   I had brand new dash cam suction mount for dash cam, GPS devices, etc… Included 10 pieces joints in the box. $13. Text to buy  show contact info . See photos. Pick up in Westminster city.","['condition: new', 'make / manufacturer: Sportway', 'mobile OS: apple iOS', 'model name / number: 2nd Gen. S30 Model.']",post id: 7411957659,posted: 2021-11-23 14:48,updated: 2021-11-27 17:21,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/westminster-dash-cam-suction-mount/7411957659.html
iPhone 13 Pro Max Case, (Westminster),$12,QR Code Link to This Post   I have new iPhone 13 pro max case. This is a high quality rubber case. $12. Text to buy  show contact info . Pick up in Westminster city.,"['condition: new', 'mobile OS: apple iOS', 'model name / number: iphone 13 pro max']",post id: 7404545221,posted: 2021-11-06 16:39,updated: 2021-11-27 17:21,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/westminster-iphone-13-pro-max-case/7404545221.html
iPhone 13 Pro Max Clear Case., (Westminster),$7,QR Code Link to This Post   I have new iPhone 13 pro max clear case. $7. Text to buy  show contact info . Meet locally.,"['condition: new', 'mobile OS: apple iOS', 'model name / number: iphone 13 pro max.']",post id: 7404892529,posted: 2021-11-07 14:18,updated: 2021-11-27 17:20,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/westminster-iphone-13-pro-max-clear-case/7404892529.html
